user_id,email,phone_number,full_name,created_at,updated_at,marketing_opt_in,source
web_0001,marc74@example.com, -+61 4405147705,Marc Hernandez,2025-10-14T12:08:41.568713Z,2025-10-14T12:08:41.568713Z,,Website
web_0002,robert89@example.com,+1 5478077406,Robert Charles,2025-10-14T06:38:18.568713Z,2025-10-14T06:38:18.568713Z,false,Website
web_0003,christopher35@example.com,+44 7988138585,Christopher Wilson,2025-10-12T01:15:43.568713Z,2025-10-12T01:15:43.568713Z,false,Website
web_0004,RANDY11@EXAMPLE.COM, -+1 1149216433,Randy Warren,2025-10-05T14:42:46.568713Z,2025-10-05T14:42:46.568713Z,false,Website
web_0005,patrick89@example.com,+86 11850163159,Patrick Gibbs,2025-10-09T10:45:53.568713Z,2025-10-09T15:39:53.568713Z,false,Website
web_0006,ann6@example.com,--+852-62251790,Ann Reynolds,2025-10-13T05:37:22.568713Z,2025-10-13T19:58:22.568713Z,true,Website
web_0007,ryan4@example.com,+1-1903404384,Ryan Burns,2025-10-11T08:20:08.568713Z,2025-10-11T08:20:08.568713Z,true,Website
web_0008,james26@example.com,+1 6692966278,James Thomas,2025-10-09T05:52:33.568713Z,2025-10-09T19:18:33.568713Z,,Website
web_0009,jason18@example.com,+44 7711798089,Jason Bauer,2025-10-07T07:01:35.568713Z,2025-10-07T07:01:35.568713Z,false,Website
web_0010,matthew11@example.com,+44-7527858549,Matthew Fox,2025-10-14T04:42:42.568713Z,2025-10-14T17:56:42.568713Z,false,Website
web_0011,todd78@example.com,+44 7990916998,Todd Hudson,2025-10-07T08:48:09.568713Z,2025-10-07T08:48:09.568713Z,true,Website
web_0012,, -+44 7856914630,Christina Morton,2025-10-11T15:19:37.568713Z,2025-10-11T15:19:37.568713Z,false,Website
web_0013,alison38@example.com,+1 4888992107,Alison Short,2025-10-10T10:11:48.568713Z,2025-10-10T15:35:48.568713Z,,Website
web_0014,danielle20@example.com,+44-7975523149,Danielle Gonzalez,2025-10-08T23:03:03.568713Z,2025-10-08T23:03:03.568713Z,false,Website
web_0015,rachael28@example.com,--+86-10330923271,,2025-10-09T16:48:41.568713Z,2025-10-09T23:11:41.568713Z,false,Website
web_0016,lori97@example.com,--+44-7348247710,Lori Wolf,2025-10-11T13:19:52.568713Z,2025-10-11T13:19:52.568713Z,false,Website
web_0017,lisa16@example.com,+1 5267722330,Lisa Joseph,2025-10-09T10:40:09.568713Z,2025-10-09T18:12:09.568713Z,false,Website
web_0018,donald60@example.com,+44-7099861622,Donald Ellis,2025-10-11T18:39:05.568713Z,2025-10-12T04:24:05.568713Z,false,Website
web_0019,kara64@example.com,,Kara Wilson,2025-10-11T00:45:42.568713Z,2025-10-11T15:30:42.568713Z,,Website
web_0020,nina79@example.com,+852-77907141,Nina Ali,2025-10-14T03:35:45.568713Z,2025-10-14T06:49:45.568713Z,,Website
web_0021,sandy53@example.com,+44 7059296222,Sandy Stephenson,2025-10-05T02:00:58.568713Z,2025-10-05T02:00:58.568713Z,true,Website
web_0022,mary84@example.com,+44-7586938068,Mary Miller,2025-10-10T10:05:45.568713Z,2025-10-10T10:05:45.568713Z,false,Website
web_0023,mike89@example.com,+44-7312073564,Mike Acosta,2025-10-06T07:49:11.568713Z,2025-10-06T07:49:11.568713Z,true,Website
web_0024,,+44 7916247314,Robert Velez,2025-10-13T04:05:08.568713Z,2025-10-13T10:49:08.568713Z,true,Website
web_0025,bobby69@example.com,+1 2898614341,Bobby Scott,2025-10-09T18:42:47.568713Z,2025-10-09T18:42:47.568713Z,false,Website
web_0026,david58@example.com,+1 1171822782,David Bradley,2025-10-12T01:46:14.568713Z,2025-10-12T01:46:14.568713Z,true,Website
web_0027,jessica71@example.com, -+852 96717565,Jessica Ramirez,2025-10-10T10:26:10.568713Z,2025-10-10T23:06:10.568713Z,,Website
web_0028,kimberly93@example.com,+61 4533963605,Kimberly Gibson,2025-10-09T22:40:43.568713Z,2025-10-10T14:53:43.568713Z,true,Website
web_0029,beverly96@example.com,+86 13173109678,Beverly Russo,2025-10-08T21:40:44.568713Z,2025-10-08T21:40:44.568713Z,false,Website
web_0030,james99@example.com, -+44 7688937346,James Snow,2025-10-07T11:19:26.568713Z,2025-10-08T01:28:26.568713Z,,Website
web_0031,patrick57@example.com,+44 7280988516,Patrick Watson,2025-10-08T20:02:10.568713Z,2025-10-08T20:02:10.568713Z,,Website
web_0032,sandy53@example.com,+44 7059296222,Sandy Stephenson,2025-10-04T21:06:44.568713Z,2025-10-04T23:15:44.568713Z,,Website
web_0033,brandon56@example.com,+44 7888610158,Brandon Jordan,2025-10-12T22:50:04.568713Z,2025-10-12T22:50:04.568713Z,true,Website
web_0034,brittany99@example.com,+852 94278816,Brittany Long,2025-10-12T05:23:26.568713Z,2025-10-12T07:13:26.568713Z,false,Website
web_0035,REBECCA97@EXAMPLE.COM,--+61-4424508821,Rebecca Atkinson,2025-10-13T02:36:28.568713Z,2025-10-13T12:47:28.568713Z,,Website
web_0036,tammy59@example.com,,Tammy Little,2025-10-12T22:35:49.568713Z,2025-10-13T13:44:49.568713Z,true,Website
web_0037,patrick89@example.com, -+86 11850163159,Patrick Gibbs,2025-10-09T20:19:32.568713Z,2025-10-09T20:19:32.568713Z,false,Website
web_0038,victoria36@example.com,+44-7965569816,Victoria Johnson,2025-10-13T11:13:06.568713Z,2025-10-13T13:18:06.568713Z,false,Website
web_0039,elizabeth80@example.com,+44-7045301742,Elizabeth Sharp,2025-10-09T03:34:16.568713Z,2025-10-09T12:13:16.568713Z,true,Website
web_0040,kimberly93+promo@example.com,+61 4533963605,Kimberly Gibson,2025-10-11T11:11:32.568713Z,2025-10-11T11:11:32.568713Z,,Website
web_0041,yolanda99@example.com,+852 66609935,,2025-10-09T02:01:05.568713Z,2025-10-09T02:01:05.568713Z,false,Website
web_0042,renee87@example.com,,Renee Blair,2025-10-04T18:06:32.568713Z,2025-10-04T18:06:32.568713Z,true,Website
web_0043,wyatt39@example.com,+44 7959953428,Wyatt Young,2025-10-05T16:41:01.568713Z,2025-10-06T05:33:01.568713Z,,Website
web_0044,shirley49@example.com,+86 15427849808,Shirley Suarez,2025-10-12T18:54:44.568713Z,2025-10-12T20:47:44.568713Z,false,Website
web_0045,christina4@example.com,--+44-7452288515,Christina Weber,2025-10-04T22:12:40.568713Z,2025-10-05T01:48:40.568713Z,true,Website
web_0046,george63@example.com,,George Pierce,2025-10-06T19:28:18.568713Z,2025-10-07T07:28:18.568713Z,true,Website
web_0047,kathryn47@example.com,+1 6188924141,Kathryn Perry,2025-10-11T17:36:11.568713Z,2025-10-11T17:36:11.568713Z,,Website
web_0048,adam88@example.com,--+1-9657569245,Adam Foster,2025-10-14T07:31:11.568713Z,2025-10-14T07:31:11.568713Z,false,Website
web_0049,jennifer29@example.com, -+44 7669096705,Jennifer Clark,2025-10-08T02:53:41.568713Z,2025-10-08T02:53:41.568713Z,true,Website
web_0050,david65@example.com,+852-91380003,David Garcia,2025-10-06T23:22:14.568713Z,2025-10-07T03:44:14.568713Z,true,Website
web_0051,ronald1@example.com, -+44 7090974395,Ronald Foster,2025-10-14T11:51:58.568713Z,2025-10-15T03:37:58.568713Z,,Website
